,snaps_A.J. Brown,snaps_Adam Thielen,snaps_Allen Lazard,snaps_Allen Robinson II,snaps_Amari Cooper,snaps_Amon-Ra St. Brown,snaps_Brandin Cooks,snaps_Brandon Aiyuk,snaps_CeeDee Lamb,snaps_Chase Claypool,snaps_Chris Godwin,snaps_Christian Kirk,snaps_Cooper Kupp,snaps_Courtland Sutton,snaps_DJ Chark Jr.,snaps_DJ Moore,snaps_DK Metcalf,snaps_Darnell Mooney,snaps_Davante Adams,snaps_DeAndre Hopkins,snaps_DeVante Parker,snaps_DeVonta Smith,snaps_Deebo Samuel,snaps_Diontae Johnson,snaps_Elijah Moore,snaps_Gabriel Davis,snaps_Hunter Renfrow,snaps_Ja'Marr Chase,snaps_Jakobi Meyers,snaps_Jarvis Landry,snaps_Jaylen Waddle,snaps_Jerry Jeudy,snaps_Joshua Palmer,snaps_JuJu Smith-Schuster,snaps_Julio Jones,snaps_Justin Jefferson,snaps_Kadarius Toney,snaps_Keenan Allen,snaps_Kenny Golladay,snaps_Marquez Valdes-Scantling,snaps_Marquise Brown,snaps_Marvin Jones Jr.,snaps_Mecole Hardman,snaps_Michael Gallup,snaps_Michael Pittman Jr.,snaps_Michael Thomas,snaps_Mike Evans,snaps_Mike Williams,snaps_Rashod Bateman,snaps_Robbie Anderson,snaps_Robert Woods,snaps_Rondale Moore,snaps_Russell Gage,snaps_Sammy Watkins,snaps_Stefon Diggs,snaps_Tee Higgins,snaps_Terry McLaurin,snaps_Tyler Boyd,snaps_Tyler Lockett,snaps_Tyreek Hill,snaps_Van Jefferson
9/7/2017,,65,,3,61,,67,,,,0,,39,,,,,,67,79,0,,,,,,,,,0,,,,25,48,,,52,44,,,68,,,,58,0,0,,57,43,,,38,58,,,42,26,50,
9/14/2017,,62.0,,0.0,48.0,,65.0,,,,29.0,,30.0,,,,,,71.0,67.0,63.0,,,,,,,,,62.0,,,,39.0,48.0,,,50.0,33.0,,,56.0,,,,58.0,55.0,0.0,,43.0,45.0,,,45.0,60.0,,,0.0,61.0,47.0,
9/21/2017,,63.0,,0.0,44.0,,57.0,,,,11.0,,38.0,,,,,,67.0,71.0,58.0,,,,,,,,,60.0,,,,51.0,58.0,,,61.0,45.0,,,68.0,,,,46.0,47.0,0.0,,49.0,60.0,,,42.0,52.0,,,30.0,66.0,39.0,
9/28/2017,,55.0,,0.0,53.0,,64.0,,,,9.0,,49.0,,,,,,40.0,78.0,47.0,,,,,,,,,46.0,,,,54.0,16.0,,,49.0,0.0,,,64.0,,,,69.0,59.0,0.0,,55.0,59.0,,,60.0,48.0,,,39.0,50.0,58.0,
10/5/2017,,68,,0,55,,72,,,,17,,63,,,,,,56,64,3,,,,,,,,,49,,,,66,0,,,71,0,,,58,,,,0,68,0,,39,64,,,59,49,,,5,38,46,
10/12/2017,,72,,0,55,,66,,,,14,,35,,,,,,65,63,0,,,,,,,,,65,,,,43,45,,,55,0,,,80,,,,59,64,11,,58,51,,,47,0,,,0,0,42,
10/19/2017,,65,,0,78,,70,,,,22,,63,,,,,,48,0,0,,,,,,,,,70,,,,31,50,,,47,0,,,0,,,,60,63,14,,45,69,,,67,0,,,0,40,40,
10/26/2017,,78,,0,63,,82,,,,14,,0,,,,,,0,71,0,,,,,,,,,59,,,,51,59,,,52,0,,,68,,,,47,62,22,,54,0,,,0,65,,,0,39,53,
11/2/2017,,0,,0,58,,0,,,,18,,39,,,,,,56,71,54,,,,,,,,,66,,,,0,43,,,0,0,,,65,,,,49,52,0,,50,45,,,33,0,,,0,55,48,
11/9/2017,,55,,0,0,,68,,,,69,,56,,,,,,54,69,50,,,,,,,,,52,,,,54,43,,,59,11,,,50,,,,56,0,27,,56,52,,,51,51,,,0,44,0,
11/16/2017,,73,,0,67,,56,,,,22,,55,,,,,,65,65,57,,,,,,,,,54,,,,66,50,,,53,35,,,62,,,,57,55,41,,0,45,,,49,53,,,22,47,64,
11/23/2017,,67.0,,0.0,28.0,,62.0,,,,19.0,,61.0,,,,,,48.0,68.0,56.0,,,,,,,,,52.0,,,,0.0,47.0,,,59.0,40.0,,,59.0,,,,44.0,61.0,1.0,,57.0,0.0,,,65.0,67.0,,,15.0,46.0,48.0,
11/30/2017,,60.0,,0.0,0.0,,68.0,,,,17.0,,51.0,,,,,,49.0,81.0,56.0,,,,,,,,,53.0,,,,54.0,42.0,,,64.0,48.0,,,59.0,,,,48.0,66.0,0.0,,62.0,0.0,,,58.0,48.0,,,15.0,29.0,42.0,
12/7/2017,,69.0,,0.0,14.0,,60.0,,,,40.0,,45.0,,,,,,64.0,67.0,61.0,,,,,,,,,66.0,,,,0.0,54.0,,,49.0,58.0,,,67.0,,,,45.0,58.0,35.0,,34.0,0.0,,,45.0,70.0,,,30.0,39.0,69.0,
12/14/2017,,54.0,,0.0,0.0,,56.0,,,,33.0,,49.0,,,,,,27.0,53.0,63.0,,,,,,,,,69.0,,,,65.0,53.0,,,47.0,50.0,,,62.0,,,,62.0,50.0,30.0,,57.0,51.0,,,51.0,44.0,,,0.0,40.0,63.0,
12/23/2017,,59.0,,0.0,43.0,,65.0,,,,54.0,,63.0,,,,,,0.0,55.0,44.0,,,,,,,,,54.0,,,,51.0,56.0,,,66.0,58.0,,,61.0,,,,40.0,51.0,25.0,,60.0,61.0,,,64.0,52.0,,,49.0,35.0,67.0,
